Property,Heldout_training_well,Residual_observed_minus_predicted
Vs,19A,-179.57758346422315
Vs,19A,-113.87650121309116
Vs,19A,-29.181232473923046
Vs,19A,-18.548588535823
Vs,19A,30.77720561356
Vs,19A,34.60736343880444
Vs,19A,4.485516587250913
Vs,19A,-142.24390607516762
Vs,19A,-124.77620722447409
Vs,19A,-96.8672374239386
Vs,19A,-117.35045450100597
Vs,19A,-171.67309491849846
Vs,19A,-47.76937492214938
Vs,19A,1.5469699284485614
Vs,19A,-168.76913452072858
Vs,19A,-222.36108098208797
Vs,19A,-219.36245989445888
Vs,19A,-0.04882293066839338
Vs,19A,35.47998468179685
Vs,19A,115.47749108471317
Vs,19A,133.712685205895
Vs,19A,73.66862246416576
Vs,19A,151.5086604083035
Vs,19A,119.53028270551567
Vs,19A,94.66256149101173
Vs,19A,72.02437474164162
Vs,19A,86.16516931551632
Vs,19A,98.71262897631914
Vs,19A,107.03372158501497
Vs,19A,56.32797146259236
Vs,BT2,92.35901466182986
Vs,BT2,-30.227557588978016
Vs,BT2,-56.09012557194819
Vs,BT2,-130.66773947911315
Vs,BT2,-83.70473711690511
Vs,BT2,-86.2155302235069
Vs,BT2,-28.742433104434895
Vs,BT2,-17.91222867719307
Vs,BT2,77.88555192646572
Vs,BT2,7.7382364171148765
Vs,BT2,51.57268132226591
Vs,BT2,58.739281999710784
Vs,BT2,-189.26016248142287
Vs,BT2,-6.771347913992031
Vs,BT2,60.24212185670649
Vs,BT2,68.79342848924443
Vs,BT2,-1.7195462917479745
Vs,BT2,60.43204340398461
Vs,BT2,7.672366152665745
Vs,BT2,-12.518634403221768
Vs,BT2,100.10093179565456
Vs,BT2,42.11611719130269
Vs,BT2,-201.71974976299407
Vs,BT2,-160.53002341948604
Vs,BT2,-588.1242689296264
Vs,BT2,-149.44802626587807
Vs,BT2,-65.2197456807562
Vs,BT2,-228.0916533223608
Vs,BT2,-231.08383110990417
Vs,BT2,-220.38002006830357
Vs,BT2,-179.4795650984281
Vs,BT2,55.83766261708843
Vs,BT2,-159.46235599722036
Vs,BT2,-66.85078880138485
Vs,BT2,97.87108736723735
Vs,F1B,54.184356807507356
Vs,F1B,113.29610526739589
Vs,F1B,57.775882378612096
Vs,F1B,15.929907502421884
Vs,F1B,-29.010447860734075
Vs,F1B,86.62363853894976
Vs,F1B,54.10288539682506
Vs,F1B,52.306957414552016
Vs,F1B,14.748805835319217
Vs,F1B,30.850602005989913
Vs,F1B,57.38451995549394
Vs,F1B,103.78327705330639
Vs,F1B,123.98100156522923
Vs,F1B,76.12951353144808
Vs,F1B,125.39697794649328
RHOB,19A,-0.014247857147716037
RHOB,19A,0.0016529960556677104
RHOB,19A,0.005940259023914596
RHOB,19A,-0.014271753396233766
RHOB,19A,-0.02575527950469869
RHOB,19A,-0.026045523872721077
RHOB,19A,-0.014866472621469118
RHOB,19A,0.008491353548447655
RHOB,19A,-0.00273165090772709
RHOB,19A,-0.0045683172938759675
RHOB,19A,-0.006782778818843038
RHOB,19A,-0.0024890288003365235
RHOB,19A,-0.0018947451289172967
RHOB,19A,-0.0003639446073466779
RHOB,19A,-0.011550485827832357
RHOB,19A,-0.009677004625659347
RHOB,19A,0.002136994963048089
RHOB,19A,0.026148921574380868
RHOB,19A,0.021217623984689737
RHOB,19A,0.014463286469335923
RHOB,19A,0.0009714284643353999
RHOB,19A,0.011856106130328392
RHOB,19A,0.012759402303164524
RHOB,19A,0.007638666316569953
RHOB,19A,0.005494437531586627
RHOB,19A,0.005238297190465424
RHOB,19A,0.0064287173982040535
RHOB,19A,0.008465239280171843
RHOB,19A,0.010582366093624174
RHOB,19A,0.007645866417887781
RHOB,BT2,-0.005126700259566963
RHOB,BT2,-0.00518903728083453
RHOB,BT2,-0.008164086917243907
RHOB,BT2,-0.011185650295765015
RHOB,BT2,-0.010426937542721504
RHOB,BT2,-0.0101512751403261
RHOB,BT2,-0.009161646344053143
RHOB,BT2,0.014868631380425157
RHOB,BT2,-0.0026316240904651345
RHOB,BT2,-0.006959547302335167
RHOB,BT2,-0.004410604380738814
RHOB,BT2,-0.0036009207960057132
RHOB,BT2,-0.008064669265911206
RHOB,BT2,-0.009435016624988801
RHOB,BT2,-0.00515188044305015
RHOB,BT2,-0.006083454274155908
RHOB,BT2,-0.009538537564635075
RHOB,BT2,-0.010783849336175155
RHOB,BT2,-0.012143000886746247
RHOB,BT2,-0.010823217859552425
RHOB,BT2,-0.008834493002378263
RHOB,BT2,-0.002375264519865361
RHOB,BT2,-0.010557588511449278
RHOB,BT2,-0.012044391974646018
RHOB,BT2,-0.008133260878360193
RHOB,BT2,-0.0057959719285620714
RHOB,BT2,-0.006021836606190156
RHOB,BT2,-0.013610719762548573
RHOB,BT2,-0.014497528695348816
RHOB,BT2,-0.015530860948247405
RHOB,BT2,-0.02857837939805874
RHOB,BT2,-0.03787638869945997
RHOB,BT2,-0.013017779984068056
RHOB,BT2,-0.008716863439394373
RHOB,BT2,-0.02180846151433169
RHOB,F1B,-0.02829892419733815
RHOB,F1B,0.03932535355558642
RHOB,F1B,-0.021349718254962013
RHOB,F1B,0.003770211696612069
RHOB,F1B,-0.012563373648517118
RHOB,F1B,-0.040863859422391346
RHOB,F1B,-0.014075725852603416
RHOB,F1B,-0.005052429025011129
RHOB,F1B,-0.007805823943178414
RHOB,F1B,0.010640751906748402
RHOB,F1B,0.012436220452769042
RHOB,F1B,-0.05462952304605384
RHOB,F1B,-0.019511760826479208
RHOB,F1B,0.006017828900776845
RHOB,F1B,0.004714322638490476
RHOB,F12,0.01009640741579787
RHOB,F12,0.0025256268804922932
RHOB,F12,0.007073766331220366
RHOB,F12,0.035811208230428715
RHOB,F12,0.01314268880501146
RHOB,F12,0.004477885643725976
RHOB,F12,0.012077449987780486
RHOB,F12,0.011237254489506743
RHOB,F12,0.04311219316427062
RHOB,F12,0.05329278988266184
RHOB,F12,-0.003174097365167494
RHOB,F12,-0.01581641180794202
RHOB,F12,-0.01789571807516621
RHOB,F12,0.02152307364910877
RHOB,F12,-0.012211929583829217
RHOB,F12,-0.012902006722666837
RHOB,F12,-0.014536852906940734
RHOB,F12,0.0020648768138218365
RHOB,F12,-0.008888681449320757
RHOB,F12,-0.009891544316394718
RHOB,F12,-0.010224423074777
RHOB,F12,-0.009451072461744037
RHOB,F12,0.0034644441391682435
RHOB,F12,-0.01022293569574062
RHOB,F12,-0.01131079998036677
RHOB,F12,-0.008243448847241375
RHOB,F12,0.005345772486889722
RHOB,F12,-0.00572970952924079
RHOB,F12,-0.014664248075718866
RHOB,F12,0.0347576547278603
RHOB,F12,0.015335487880876908
RHOB,F12,0.01617370868396195
RHOB,F12,-0.0096309135834165
RHOB,F12,0.03974136446932253
RHOB,F12,0.02532742656390674
RHOB,F12,0.048036132266368714
RHOB,F12,0.01727212285534563
RHOB,F12,0.017294189238802993
RHOB,F12,0.007145940749068824
